s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	
108k	13204.9	12875.9	12921.7	12717	12512.9	12237.3	12010.8	11834	11603.2	11403.9	11070.9	10813.3	10447.3	10151.4	9796.16	8942.02	8801.48	8802.04	8880.34	8883.64	
107k	11966.3	12885.7	12921.5	12707.8	12475.8	12218.1	11988	11827.1	11606	11366.1	11045.3	10697.9	10321.6	9993.36	9645.05	9367.73	9405.74	9381.07	9434.52	9358.98	
106k	13203.2	12889.4	12912.7	12727.6	12488.4	12011.5	11562.3	11556.1	11387.2	11289.8	10748.4	10163.8	9756.92	9265.94	8777.08	8332.51	8390.06	8227.59	8155.11	8302.48	
105k	13106.8	11402.2	11653.7	12719.3	12530.4	12318.5	12001.9	11773.6	11597.4	11324.8	11026.4	10652.5	10247.1	9906.87	9557.08	9214.57	9258.07	9288.4	9301.33	9312.96	
104k	13186.4	12877.8	12896.4	12702.5	12482.4	12241.7	11932.5	11770.9	11573.4	11342.7	10994.9	10665.9	10312.7	9975.08	9617.68	9354.62	9400.89	9405.41	9440.48	9455.81	
103k	13195.1	12883.9	12914.1	12521.6	12265.1	12209.3	12106.9	11464.7	11738	11308.3	9980.01	9989.77	9394.4	9020.91	8686.04	8222.73	8123.4	7807	8430.53	8548.13	
102k	13190.6	12878.8	12957.5	12798.4	12585.6	12319	11978.2	11820.5	11700.9	11493.8	11169.3	10843.9	10530.3	10206	9820.87	9553.64	9610.51	9544.96	9604.43	9664.64	
101k	13209.3	12886.6	12956.1	12787.8	12612.2	12483	12311.9	12194.4	12098.3	11960.5	11760.4	11483.9	11093.3	10804.1	10710	10339.1	10128.2	10109.1	10148.8	10153.2	
100k	13207.7	10409.9	12980.9	12829.4	12702.2	12623.2	12483.6	12441.7	12400	12340	12132.2	11880.1	11373.3	11066.1	10530.7	9591.18	9603.92	9580.92	9568.2	9594.48	
99k	13174.6	12910.1	13021.6	12890.6	12789.1	12657.9	12669.3	12423.3	12210.8	12382.1	12096.4	11506.4	10873.1	10262.5	9708.38	9209.3	9134.78	9180.41	9132.46	9120.36	
98k	13128.6	10981.8	14154.9	14128	14113.1	13993	14052.1	14012.2	13670.9	13027.4	12389	11720	11077.1	10512.7	9951.21	9448.06	8722.18	10226.7	10174.9	10038.8	
97k	13193.7	12916.2	13035.8	14218.8	12786.9	12753.7	12668.5	12691.4	12670.2	12562.9	12259.7	11727.8	11008.3	10543.7	9986.43	9614.97	9570.15	9526.6	9516.44	9552.2	
96k	13211.3	12912	13021.9	12895.5	12793.3	12764.9	12683.3	12694.2	12645.6	12570	12250.2	11924.7	11914.6	11081.8	10708.2	10407.6	10346.1	10350.6	10513.8	10449.9	
95k	13191	12692.6	12777.6	12864.7	12802.4	12530.7	7453.63	12370.5	11951	12094.4	11566.1	10838.1	10100.2	9689.3	9321.28	8900.34	9052.08	9095.81	9199.7	9313.73	
94k	13180	12914.9	13027.7	12889.8	12781.5	12734.8	12675.1	12662.3	12659.5	12567.9	12323.9	11890.4	11498.3	11172.7	10763.2	10484.9	10461.9	10446.2	10397.3	10455	
93k	13191.2	12883.7	13012.2	12874.8	12785.6	12747.4	12682	12687.9	12662.2	12569.6	12249.5	11800	11292.5	10859.2	10414.1	10049	9981.82	9969.09	9924.36	9905.54	
92k	13211.9	12915.8	9470.99	12903.5	13962.3	13518.1	13626.1	12466.9	12710.1	12527.3	11815	10960.9	10482.9	9797.33	9032.33	8207.42	8239.9	8225.66	8403.39	8512.56	
91k	13146.3	12913	13018.3	14182.7	14059.2	14159.1	12685.3	12670.5	12670.4	12547.8	12266.1	11912.8	11469.2	11117.4	10721.1	10609.2	10568.4	10527.2	10523.6	10455.6	
90k	13212.1	12918.2	13028.2	12898.9	12794	12736.3	12664	12660.7	12663.6	12575.4	12284.5	11907.7	11474.2	11096.1	10295.6	10880.7	10787.2	10747.3	10670.1	10691.4	
89k	13174.2	12731.8	13020.8	12883.7	12789.8	12652.2	12077.9	12681.4	12692.7	12572.4	12215.4	11656.2	11113.6	10574.1	9914.81	9485.43	9442.27	9424.44	9410.2	9383.37	
88k	13182.6	12911.3	13024.9	12863.4	12773.4	12735.3	12689.8	12616.8	12321.6	12249.9	11878	11284.6	10413.8	9890.28	9276.93	8749.96	8762.94	8718.52	8703.15	8668.8	
87k	13195	12823.6	12703.8	12660	12765.8	12761.9	12729.3	12726.3	12709	12510.2	11982.1	11167.9	10393.8	9704.73	9118.69	8549.06	8520.88	8543.36	8475.86	8482.84	
86k	12190.6	11876	13011.4	12889.3	12784.4	12732.1	12661	12671.2	12649	12552	12240.4	11851.9	11415.2	11040.5	10641.8	10324.9	10279.8	10312.8	10286.8	10236.2	
85k	13177.5	12912.6	13029	12886.6	12785.3	12736.6	12676.9	12678.6	12669.3	12531.7	12186.2	11701	11177	10734.1	10246.9	9943.7	9892.57	9922.83	9899.3	9838.59	
84k	13193.9	12909.3	13019.5	12886.4	12792.4	12760.4	12679.3	12690.6	12676.7	12550.3	12145.8	11656.8	11125.3	10637.9	10164.5	9730.32	9719.13	9799.02	9719.6	9722.79	
83k	13189.1	9207.12	11130.4	12600.8	12638.3	12747	12723.7	12729.5	12726.8	11895.4	11842.1	11078.4	10273.8	9339.9	8427.53	8234.38	8309.23	8145.55	8454.94	8547.23	
82k	13119.3	12905.9	13025.4	12866.1	12785.9	12731.8	12673.5	12679.1	12650.2	12564	12277.2	11885.1	11468	11074	10707	10438.4	10364.3	10378.7	10339.3	10261.5	
81k	13185.3	12902.4	13026.3	12890.6	12772.8	12749.5	12633.8	12665.8	12643.7	12551.1	12258.2	11901.6	11467.8	11074.1	10667.2	10355.6	10342.6	10332.8	10291.4	10452.2	
80k	13200.6	12911.2	8506.28	12891.5	12782.2	12744.8	12681.2	12683.3	12664.2	12529.8	12140.9	11637.3	11021.9	10548.8	10066	9625.51	9621.76	9692.05	9662.45	9656.28	
79k	13145.4	12841.5	12874.4	12362.5	12604.6	14126.4	13605.2	12105	12500.3	12511.6	11983.1	11226.4	10500.6	9793.88	9179.57	8631.23	8630.2	8633.67	8631.39	8594.75	
78k	13184.7	12902.1	13013.2	12898.6	12759.6	12744.4	12672.4	13936.7	13687.7	13246.8	12863.2	12296.8	11836.3	11071.7	10695.5	10395.2	10289.5	10328.2	10274.8	10292.3	
77k	13183.9	12908	13024.4	12896.8	12774.6	12725.4	12654.8	11957.1	12642.2	12511.5	12022	11415.4	10762.7	10190	9632.02	9188.2	9096.26	9152.46	9123.49	9062.9	
76k	13177.6	12912.9	13012.9	12885.6	12796.6	12738.4	12643	12683.2	12644.8	12510.9	12239.2	11748.2	11262.5	10864.4	10445.4	10099.7	10053.6	10025.5	10205.8	10162.5	
75k	13184.2	12907.8	13019.4	12884.2	12761.3	12737.1	12603.4	12688	12672.3	12508.6	12051.2	11456	10771.3	10250.8	9731.99	9159.61	9211.6	8934.41	9076.62	9430.26	
74k	13188.2	12898.7	13009.8	12890.1	12789.5	12661.9	12601.6	12485.5	12240.5	11916.5	12019.7	11322.7	10579.4	9987.45	9410.52	8887.22	8841.15	8612.29	8552.43	8625.17	
73k	11350.7	12914.1	13002.9	12875.8	12776.7	12720.8	12620.9	12656.4	12613.1	12563.9	12340.2	11978.4	11579.7	11262.3	10873.7	10660.8	10617.7	10623.8	10585.5	10629.8	
72k	13162.4	12910.5	14201	14110.9	12761.6	12707.9	12648.6	12642	12576.4	12547.7	12214.8	11877.1	11464	11068.1	10710.9	10455.6	10394.6	10395.4	10359.9	10372	
71k	13174.9	12910.9	13033.7	12885.7	12761.3	12723.4	12656.9	12692.4	12669.8	12518.5	12429.5	11803.4	11197.9	10522.8	9997.52	9631.2	9571.99	9597.93	9544.48	9566.8	
70k	13178	12906.9	13013.9	12879.1	12778.8	12699.1	12643.5	12659.3	12659.8	6598.42	11545.8	7230.71	10823.8	10202.9	9674.81	9212.8	9144.94	9090.91	9067.74	9086.76	
69k	13165.2	12761.3	12592.2	12556.3	12532.1	12515.7	12500	12540.8	12696.5	12459.9	11979.6	11249.5	10458	9772.25	9226.25	8718.66	8665.19	8663.31	8603.3	8621.36	
68k	13056.6	12643.9	12670.3	12780.1	12693	12644.4	12697.9	12712.9	12696.5	12489.7	12000.9	11292.3	10544.6	9911.51	9300	8794.05	8791.21	8767	8682.88	8692.94	
67k	13167.4	12896.5	13004.7	12877.7	12768.7	12698	12639.6	12653.1	12615.4	12536.1	12262.6	11860.5	11447.4	11331.6	10903.7	10347	10318.6	10359.9	10267.9	10346.3	
66k	13166.5	12903.8	13002	8699.68	10015.1	12723.4	12668.3	12685.1	12668.7	12521.3	12060.3	11321.5	10715.3	10168.5	9590.41	9085.43	9047.25	9041.43	9110.7	9078.45	
65k	13156.1	12914.8	13008.7	12875.5	14059.7	14128	14088.8	13994	13634.4	13144.3	12661.7	12076.5	11211.8	10773.7	10318.6	9966.46	9943.11	9963.35	9896.6	9928.99	
64k	13154.4	12799.6	13006.7	12501.5	12186.9	12421.8	12654.8	12564	12623.1	12155	11658.9	10483.8	10351.1	9785.11	9249.69	8691.22	8688.3	8677.41	8650.18	8615.16	
