s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	
423k	12804.7	12567.9	11964.9	10968.1	9934.45	9185.83	8461.95	5623.36	7237.69	7263.11	6931.89	6563.27	6195.43	5824.07	5477.32	5181.96	5074.89	4979.43	4889.04	4826.89	
422k	12792.7	12545.9	11990.8	10986	10098.6	8975.05	8320.28	7963.51	7628.63	7295.55	6936.62	6556.52	6188.01	5792.69	5480.62	5187.96	4603.82	4983.58	4142.46	4538.33	
421k	13139	12552.1	11973.3	11006.2	9213.35	8313.43	8222.19	7900.08	7634.51	7297.08	6946.96	6566.25	6204.6	5833.11	5490.12	5203.23	5040.87	4996.56	4917.13	4858.76	
420k	13165	13179.1	11982.9	11003.2	9943.54	9206.58	8465.63	7989.25	7672.35	7327.55	6965.86	6582.98	6171.56	5849.76	5461.33	5187.41	5105.39	5023.74	4938.22	4866	
419k	13190.6	13199.3	11120.9	11019.5	10155.8	9005.26	8259.04	7922.97	7669.73	7344.78	6968.36	6596.68	6224.35	5012.76	5516.49	5212.86	5113.63	5016.75	4941.55	4876.3	
418k	13124.9	11849	11984.9	11019.2	10154.1	9078.07	8361.55	7886.86	7659.71	7319.88	6972.98	5644.2	6224.2	5865.59	5502.84	5220.35	5125.48	5025.7	4220.29	4887.86	
417k	13147.1	11961.3	11995.9	11332.2	8495.97	9155.14	8477.14	8061.79	7735.31	7232.12	6994.16	6602.54	6233.11	5863.35	5532.49	5223.5	5130.5	5031.01	4948.65	4885.63	
416k	13099.1	12578.8	11993.4	11047.6	10049.5	9099.17	8411.06	7921.66	7536.88	7352.27	6990.3	6600.28	6236.53	5844.6	5512.46	5222.46	5126.56	5031.36	4944.29	4878.42	
415k	12795.7	12580.1	12000.5	11018.2	9235.63	9016.98	8372.29	7755.4	7674.47	7347.62	7025.1	6636.87	6238.84	5869.57	5532.51	5246.5	5140.86	5049.49	4972.08	4895.58	
414k	13090.3	12570.1	11988.6	10997.7	9970.34	9249.84	8408.12	8059.33	7718.58	7359.44	6986.99	6630.76	6248.87	5846.43	5542.61	5247.17	5151.95	5058.12	4967.94	4896.89	
413k	12821.5	12564.8	11989.2	11016.4	8436.84	8381.77	8534.1	8058.07	7740.53	7390.15	7019.28	6643.99	6264.68	5891.12	5555.97	5257.42	5160.37	5066.77	4962.45	4838.21	
412k	13141.4	12583.6	12013	11049.2	10093	9094.84	8412.48	7938.99	7720.23	7396.34	7029.97	6654.64	6275.26	5874.1	5564.35	5259.25	5171.25	5072.35	4041.13	4920.96	
411k	13138.3	12573	12632.3	11309.7	8204.27	9195.06	8553.22	8081.43	7752.68	7408.33	7054.49	6668.82	6290.56	5941.78	5609.94	5305.45	5148.66	5092.35	4990.27	4910.58	
410k	13115.3	12568.5	12016.4	10985.9	10198.6	9125.4	8425.37	7963.51	7719.42	7402.18	7033.5	6647.01	6286.94	5916.68	5549.63	5271.21	4457.81	5071.12	4979.76	4922.13	
409k	13146.3	12570.8	11452	10672.1	9924.67	7618.56	8530.84	8138.82	7808.72	7445.46	7047.97	6629.8	6288.6	5912.38	5513.23	5279.95	5180.33	5081.6	4980.21	4917.34	
408k	13135.8	12594.8	11934.2	11017	10007.5	9277.78	8534.06	8092.9	7761.1	7390.51	7033.73	6648.77	6275.56	5897.35	5510.95	5242.26	5169.08	5061.63	4972.48	4905.06	
407k	13135.1	12567.7	11142.6	11053.9	10164.6	9012.2	8166.23	7167.21	7720.74	7390.44	7038.22	6658.08	6282.65	4974.65	5575.8	5273.81	5181.58	5070.58	4985.02	4906.34	
406k	13154.7	13057.1	12003.9	11027.6	10018.5	9279.89	8565.43	8093.49	7750.69	7397.56	7037.39	6646.37	6186.96	5912.64	5580.07	5281.17	4401.82	5079.86	4988.35	4924.66	
405k	12558.9	11886.1	12003.6	11005.4	10018.4	9203.39	7500.6	7729.47	7660.92	7403.1	7062.84	5614.69	6298.67	5927.43	5595.08	5273.95	5108.09	5051.52	4845.04	4844.88	
404k	13110.7	12452.6	11807.1	10926.6	10015	9170.75	8345.95	7963.17	7334.12	7418.16	6791.64	6689.25	6302.31	5919.03	5595.68	5306.12	5198.36	4268.46	5017.24	4936.63	
403k	13145.2	11955	12001.5	11087	10228.4	9303.88	8540.65	7510.75	6545.29	6549.26	6695.93	6686.75	6241.37	5858.9	5574.96	5282.82	5212.14	5106.01	5022.45	4959.59	
402k	12834.9	12500.7	12048.1	11096	10104.1	9373.14	8676.29	8169.41	7823.73	6431.73	7106.23	6706.29	6340.05	5959.87	5619.4	5314.45	5223.69	5134.35	5026.73	4929.4	
401k	12793.4	12593.4	12615.5	10856.6	9891.69	9139.61	8608.04	7718.91	7535.38	5854.11	6969.18	6658.05	6348.1	5981.15	5642.17	5325.67	5224.09	5137.91	5048.4	4978.25	
